title,link,ngay_dang,gia,dien_tich,khu_vuc,link_img,crawl_time
"Bán nhà Đường Lò Siêu, Quận 11",https://batdongsan24h.com.vn/ban-nha-quan-11/ban-nha-duong-lo-sieu-quan-11-2960779.html,28/06/2023,5 Tỷ,34 m2,"Quận 11, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/28/133323998906468995-z4467083311288-f40ce88a4257c2fa39e1046811a65270.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà nhỏ sở hữu chính chủ đường Chu Văn An, Phường 12, Quận Bình Thạnh",https://batdongsan24h.com.vn/ban-nha-quan-binh-thanh/ban-nha-nho-so-huu-chinh-chu-duong-chu-van-an-phuong-12-quan-binh-thanh-2927655.html,05/06/2023,2.7 Tỷ,51.4 m2,"Quận Bình Thạnh, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/05/133304304444314668-img-0369.jpeg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán đất Đường Ghềnh Đá - Hồng Phương Xã Trung Kiên, Huyện Yên Lạc",https://batdongsan24h.com.vn/ban-dat-huyen-yen-lac/ban-dat-duong-ghenh-da-hong-phuong-xa-trung-kien-huyen-yen-lac-2846886.html,12/04/2023,18.5 Triệu/m2,235 m2,"Huyện Yên Lạc, Vĩnh Phúc",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/04/12/133257592136020041-ban-dat-trung-kien.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Mua cuốn sổ này tặng ngay miếng đất ven biển Bình Thuận 3,019m2?",https://batdongsan24h.com.vn/ban-dat-huyen-bac-binh/mua-cuon-so-nay-tang-ngay-mieng-dat-ven-bien-binh-thuan-3-019m2-2927022.html,29/06/2023,1.5 Tỷ,3000 m2,"Huyện Bắc Bình, Bình Thuận",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/05/133304121008437113-z4398719805490-6968b3cafd6989e4963438bac1be511a.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà hẻm xe hơi đường Cao Thắng, Phường 12 Quận 10, chào mới 16 tỷ",https://batdongsan24h.com.vn/ban-nha-quan-10/ban-nha-hem-xe-hoi-duong-cao-thang-phuong-12-quan-10-chao-moi-16-ty-2950347.html,28/06/2023,16 Tỷ,102 m2,"Quận 10, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/21/133317776906010151-z4449452499915-83acc15ddcfbe1947e3f8fdded1e8950.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà Đường Hoàng Hoa Thám, Phường 12, Quận Tân Bình, 10.5 tỷ",https://batdongsan24h.com.vn/ban-nha-quan-tan-binh/ban-nha-duong-hoang-hoa-tham-phuong-12-quan-tan-binh-10-5-ty-2951859.html,28/06/2023,10.5 Tỷ,60 m2,"Quận Tân Bình, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/22/133318680099611321-277100804-791711878855851.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà Đường Phạm Quý Thích, Phường Tân Quý, Quận Tân Phú, 11 tỷ",https://batdongsan24h.com.vn/ban-nha-quan-tan-phu/ban-nha-duong-pham-quy-thich-phuong-tan-quy-quan-tan-phu-11-ty-2956407.html,28/06/2023,11 Tỷ,102 m2,"Quận Tân Phú, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/25/133321511240473619-z4461532485234-8fb695dab1b6132cc57bccd99276a093.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà hẻm xe tải tránh, đường Đồng Đen, phường 11 Tân Bình, 11 tỷ",https://batdongsan24h.com.vn/ban-nha-quan-tan-binh/ban-nha-hem-xe-tai-tranh-duong-dong-den-phuong-11-tan-binh-11-ty-2952843.html,28/06/2023,11 Tỷ,71 m2,"Quận Tân Bình, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/22/133319119847730863-z4454712043145-4f8d59fc0c470de1cb5f980296ffd9ee.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà mặt phố Đường Đồng Đen, Phường 14, Quận Tân Bình, 18 tỷ",https://batdongsan24h.com.vn/ban-nha-mat-pho-quan-tan-binh/ban-nha-mat-pho-duong-dong-den-phuong-14-quan-tan-binh-18-ty-2954835.html,28/06/2023,18 Tỷ,60 m2,"Quận Tân Bình, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/24/133320419969532043-z4458459326184-8d6e220504f835eac5800e3f76c0f13a.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
"Bán nhà hẻm xe hơi đường Đội Cung, phường 9 Quận 11, 11.3 tỷ ( TL )",https://batdongsan24h.com.vn/ban-nha-quan-11/ban-nha-hem-xe-hoi-duong-doi-cung-phuong-9-quan-11-11-3-ty-tl-2956271.html,28/06/2023,11.3 Tỷ,67 m2,"Quận 11, TP. HCM",https://batdongsan24h.s3-ap-southeast-1.amazonaws.com/Buysell/2023/06/25/133321368218879098-z4459765783067-35ffd8cae4625008c2035d09f8662174.jpg?w=125&h=90&mode=crop,29/06/2023 15:00:54
